,City,Temperature (F),Humidity (%),Cloud Coverage (%),Wind Speed (mph),Latitude,Longitude
110,Longyearbyen,17.6,78,20,5.82,78.22,15.64
111,Yellowknife,26.22,73,90,13.87,62.46,-114.35
112,Kapaa,83.16,74,90,4.7,22.08,-159.32
113,Lata,57.34,88,9,3.02,40.16,-8.33
114,Lompoc,65.1,72,1,13.87,34.64,-120.46
115,Ribeira Grande,63.7,68,46,18.16,38.52,-28.7
116,Cherskiy,17.26,95,55,7.92,68.75,161.3
117,Arraial do Cabo,75.2,83,40,11.41,-22.97,-42.03
118,Emerald,72.19,83,12,10.29,-23.53,148.17
119,Coquimbo,59.0,72,20,12.75,-29.95,-71.34
120,Buraidah,68.0,30,0,3.36,26.33,43.98
121,Bluff,51.26,61,100,7.43,-46.6,168.33
122,Hermanus,55.0,90,0,7.92,-34.42,19.23
123,Esfarāyen,53.6,81,75,6.93,37.08,57.51
124,Ushuaia,53.6,46,75,12.75,-54.8,-68.3
125,Barrow,33.8,96,90,16.11,71.29,-156.79
126,Le Port,65.68,60,36,12.75,-20.94,55.29
127,Albany,67.21,82,22,5.01,42.6,-73.97
128,Aksu,45.21,49,0,1.07,41.12,80.26
129,Hermanus,55.0,90,0,7.92,-34.42,19.23
130,Ushuaia,53.6,46,75,12.75,-54.8,-68.3
131,Port Elizabeth,60.8,93,0,2.24,-33.92,25.57
132,Alta Gracia,55.27,86,91,5.01,-31.65,-64.43
133,Hobart,54.39,81,75,4.7,-42.88,147.33
134,Thompson,30.2,54,90,6.93,55.74,-97.86
135,Ushuaia,53.6,46,75,12.75,-54.8,-68.3
136,Lagoa,62.92,72,37,18.21,39.05,-27.98
137,Cape Town,57.56,87,0,17.22,-33.93,18.42
138,George Town,78.4,88,20,4.7,5.41,100.34
139,Auki,82.36,77,91,2.73,-8.77,160.7
140,Bethel,65.75,88,90,4.7,41.37,-73.41
141,Tuktoyaktuk,19.4,79,40,9.17,69.45,-133.04
142,Licheng,70.74,56,75,13.42,23.3,113.83
143,Nikolskoye,36.77,93,90,6.71,59.7,30.79
144,Hithadhoo,82.42,75,16,14.38,-0.6,73.08
145,Lebu,50.05,77,0,15.73,-37.62,-73.65
146,Nikolskoye,36.77,93,90,6.71,59.7,30.79
147,Vila Franca do Campo,60.8,77,40,10.29,37.72,-25.43
148,Souillac,75.2,73,40,11.41,-20.52,57.52
149,Gualaquiza,68.74,88,71,1.77,-3.4,-78.55
150,Katsuura,60.66,67,75,12.75,35.13,140.3
151,Avarua,77.0,83,54,11.41,-21.21,-159.78
152,Jardim,79.88,69,56,5.61,-21.48,-56.14
153,Vaini,75.2,73,90,10.29,-21.2,-175.2
154,Beringovskiy,40.53,79,89,8.34,63.05,179.32
155,Longyearbyen,17.6,78,20,5.82,78.22,15.64
156,Morden,30.76,97,90,6.93,49.19,-98.1
157,Kampene,69.13,91,87,0.0,-3.6,26.67
158,Albany,67.21,82,22,5.01,42.6,-73.97
159,Dikson,23.23,95,94,10.94,73.51,80.55
160,East London,65.37,80,2,13.89,-33.02,27.91
161,Jamestown,56.86,93,90,4.7,42.1,-79.24
162,Saint-Pierre,67.77,69,20,17.22,-21.34,55.48
163,Lagoa,62.92,72,37,18.21,39.05,-27.98
164,Avarua,77.0,83,54,11.41,-21.21,-159.78
165,Kroya,62.01,88,78,2.46,-7.63,109.25
166,Castro,66.42,80,10,9.44,-24.79,-50.01
167,Faanui,78.62,77,13,12.82,-16.48,-151.75
168,Cape Town,57.56,87,0,17.22,-33.93,18.42
169,Thinadhoo,82.51,77,37,13.15,0.53,72.93
170,Sarkand,53.65,34,0,6.87,45.41,79.92
171,Mataura,57.2,47,97,2.93,-46.19,168.86
172,Saint-Philippe,69.26,69,20,17.22,-21.36,55.77
173,Port Alfred,63.54,85,0,12.35,-33.59,26.89
174,Faya,60.8,19,0,4.7,18.39,42.45
175,Vaini,75.2,73,90,10.29,-21.2,-175.2
176,Mataura,57.2,47,97,2.93,-46.19,168.86
177,Parambu,81.39,29,3,3.67,-6.21,-40.69
178,Kendari,75.16,88,78,2.3,-3.94,122.5
179,Dawei,73.8,89,82,4.03,14.08,98.2
180,Fichē,46.17,74,0,3.78,9.8,38.73
181,Cape Town,57.56,87,0,17.22,-33.93,18.42
182,Tiksi,10.67,94,100,5.35,71.69,128.87
183,Saldanha,51.8,81,0,3.36,-33.01,17.94
184,Tiksi,10.67,94,100,5.35,71.69,128.87
185,Monrovia,78.24,87,99,7.61,6.3,-10.8
186,Bourail,78.48,62,7,3.24,-21.57,165.48
187,Bredasdorp,55.4,87,0,2.24,-34.53,20.04
188,Karratha,66.36,50,82,7.43,-20.74,116.85
189,Carutapera,79.45,77,15,8.68,-1.2,-46.02
190,Upernavik,25.88,95,88,6.2,72.79,-56.15
191,Atuona,77.83,70,0,16.2,-9.8,-139.03
192,Krasnosel'kup,18.34,98,61,8.37,65.7,82.47
193,Busselton,48.45,72,1,10.56,-33.65,115.33
194,Jishou,54.52,83,35,2.46,28.32,109.72
195,Rikitea,74.1,70,62,7.63,-23.12,-134.97
196,Tasiilaq,30.2,86,100,3.36,65.61,-37.64
197,Mahébourg,75.2,73,40,11.41,-20.41,57.7
198,Busselton,48.45,72,1,10.56,-33.65,115.33
199,Priekule,53.6,100,100,13.87,56.45,21.59
200,Longyearbyen,17.6,78,20,5.82,78.22,15.64
201,Faanui,78.62,77,13,12.82,-16.48,-151.75
202,Marzuq,69.42,25,15,4.54,14.4,46.47
203,Leningradskiy,36.07,82,100,6.58,69.38,178.42
204,Tuktoyaktuk,19.4,79,40,9.17,69.45,-133.04
205,Vacha,32.13,96,99,4.59,55.8,42.77
206,Punta Arenas,50.0,46,90,9.17,-53.15,-70.92
207,Esso,25.92,92,79,5.12,55.93,158.7
208,Airai,63.03,68,4,1.41,-8.93,125.41
209,Bluff,51.26,61,100,7.43,-46.6,168.33
210,Avarua,77.0,83,54,11.41,-21.21,-159.78
211,Puerto Ayora,71.91,69,20,13.87,-0.74,-90.35
212,Okhotsk,33.17,93,99,19.33,59.38,143.3
213,Hamilton,67.19,83,1,5.82,39.18,-84.53
214,Mataura,57.2,47,97,2.93,-46.19,168.86
215,Bluff,51.26,61,100,7.43,-46.6,168.33
216,Iqaluit,32.0,94,75,4.7,63.75,-68.51
217,Alofi,75.2,100,90,14.99,-19.06,-169.92
218,Port Blair,80.76,83,73,10.63,11.67,92.75
219,Portland,57.2,44,20,13.87,45.52,-122.68
220,Aykhal,-0.4,91,90,5.93,66.0,111.5
221,Port Alfred,63.54,85,0,12.35,-33.59,26.89
222,New Norfolk,53.64,75,97,1.01,-42.78,147.06
223,Lata,57.34,88,9,3.02,40.16,-8.33
224,Vyshkov,44.6,93,90,6.71,52.48,31.69
225,Souillac,75.2,73,40,11.41,-20.52,57.52
226,Albany,67.21,82,22,5.01,42.6,-73.97
227,East London,65.37,80,2,13.89,-33.02,27.91
228,Egvekinot,32.58,100,85,6.38,66.32,-179.17
229,Boa Vista,93.2,41,20,9.17,2.82,-60.67
230,Burhaniye,66.2,72,40,10.29,39.5,26.97
231,Busselton,48.45,72,1,10.56,-33.65,115.33
232,Mataura,57.2,47,97,2.93,-46.19,168.86
233,Khatanga,3.94,92,0,8.34,71.97,102.5
234,Samaná,86.0,79,75,4.7,19.21,-69.34
235,Mahébourg,75.2,73,40,11.41,-20.41,57.7
236,Provideniya,39.2,86,90,4.47,64.38,-173.3
237,Cape Town,57.56,87,0,17.22,-33.93,18.42
238,Itoman,75.15,100,75,2.24,26.12,127.67
239,Jamestown,56.86,93,90,4.7,42.1,-79.24
240,Hohhot,32.0,77,0,8.95,40.81,111.65
241,Arraial do Cabo,75.2,83,40,11.41,-22.97,-42.03
242,Vaini,75.2,73,90,10.29,-21.2,-175.2
243,Tuktoyaktuk,19.4,79,40,9.17,69.45,-133.04
244,Acapulco de Juárez,87.8,70,75,4.7,16.86,-99.89
245,Rikitea,74.1,70,62,7.63,-23.12,-134.97
246,Saint George,83.59,10,1,9.8,37.1,-113.58
247,Port Alfred,63.54,85,0,12.35,-33.59,26.89
248,Rikitea,74.1,70,62,7.63,-23.12,-134.97
249,Cherskiy,17.26,95,55,7.92,68.75,161.3
250,Canmore,24.04,62,90,10.29,51.08,-115.35
251,Longyearbyen,17.6,78,20,5.82,78.22,15.64
252,Port Alfred,63.54,85,0,12.35,-33.59,26.89
253,Mehamn,26.6,86,10,11.41,71.04,27.85
254,Sulangan,83.52,73,85,9.01,11.14,123.72
255,Vaini,75.2,73,90,10.29,-21.2,-175.2
256,Mazarrón,69.71,77,100,4.7,37.6,-1.31
257,Geraldton,51.8,87,0,3.36,-28.77,114.6
258,Ushuaia,53.6,46,75,12.75,-54.8,-68.3
259,Labuhan,79.27,82,96,5.48,-6.88,112.21
260,Rikitea,74.1,70,62,7.63,-23.12,-134.97
261,Ushuaia,53.6,46,75,12.75,-54.8,-68.3
262,Atuona,77.83,70,0,16.2,-9.8,-139.03
263,Chokurdakh,9.93,94,100,4.36,70.63,147.92
264,San Patricio,84.11,70,1,14.99,28.02,-97.52
265,Nizwá,64.81,26,50,2.59,22.93,57.53
266,Hilo,79.14,51,75,8.39,19.73,-155.09
267,Kudahuvadhoo,82.0,78,21,12.41,2.67,72.89
268,Ilulissat,26.6,73,100,4.7,69.22,-51.1
269,Ushuaia,53.6,46,75,12.75,-54.8,-68.3
270,Posse,73.8,77,100,7.58,-14.09,-46.37
271,Sorong,78.42,84,100,5.3,-0.88,131.25
272,Punta Arenas,50.0,46,90,9.17,-53.15,-70.92
273,Hilo,79.14,51,75,8.39,19.73,-155.09
274,Bluff,51.26,61,100,7.43,-46.6,168.33
275,Puerto Ayora,71.91,69,20,13.87,-0.74,-90.35
276,Klaksvík,33.8,86,50,3.36,62.23,-6.59
277,Dikson,23.23,95,94,10.94,73.51,80.55
278,Rāvar,50.0,45,0,2.68,31.27,56.81
279,Iqaluit,32.0,94,75,4.7,63.75,-68.51
280,Mataura,57.2,47,97,2.93,-46.19,168.86
281,Albany,67.21,82,22,5.01,42.6,-73.97
282,Isangel,82.4,69,20,9.17,-19.55,169.27
283,Port-Gentil,78.51,84,78,11.05,-0.72,8.78
284,Cherskiy,17.26,95,55,7.92,68.75,161.3
285,Butaritari,82.06,73,9,10.36,3.07,172.79
286,Mataura,57.2,47,97,2.93,-46.19,168.86
287,Hobart,54.39,81,75,4.7,-42.88,147.33
288,Kyren,30.02,84,10,2.57,51.68,102.14
289,Rikitea,74.1,70,62,7.63,-23.12,-134.97
290,Mount Gambier,46.4,100,61,4.7,-37.83,140.77
291,East London,65.37,80,2,13.89,-33.02,27.91
292,Busselton,48.45,72,1,10.56,-33.65,115.33
293,Yacuiba,82.65,45,9,4.88,-22.04,-63.68
294,Chapais,32.0,100,90,3.36,49.78,-74.85
295,Narsaq,32.0,90,100,3.36,60.92,-46.05
296,Ilulissat,26.6,73,100,4.7,69.22,-51.1
297,Jiangyou,55.69,72,98,2.01,31.77,104.72
298,Cape Town,57.56,87,0,17.22,-33.93,18.42
299,Punta Arenas,50.0,46,90,9.17,-53.15,-70.92
300,Vaini,75.2,73,90,10.29,-21.2,-175.2
301,Tuktoyaktuk,19.4,79,40,9.17,69.45,-133.04
302,Castro,66.42,80,10,9.44,-24.79,-50.01
303,Pattaya,80.1,88,20,4.7,12.93,100.88
304,Tuatapere,57.99,59,92,5.01,-46.13,167.68
305,Saint Paul Harbor,43.39,63,98,9.26,57.79,-152.41
306,Yangshan,52.57,77,48,4.54,28.76,115.03
307,Dossor,44.37,58,89,9.69,47.53,52.98
308,Rikitea,74.1,70,62,7.63,-23.12,-134.97
309,Moose Factory,32.0,98,90,3.36,51.26,-80.61
310,Jamestown,56.86,93,90,4.7,42.1,-79.24
311,Mataura,57.2,47,97,2.93,-46.19,168.86
312,Atuona,77.83,70,0,16.2,-9.8,-139.03
313,Albany,67.21,82,22,5.01,42.6,-73.97
314,Mataura,57.2,47,97,2.93,-46.19,168.86
315,Provideniya,39.2,86,90,4.47,64.38,-173.3
316,Bluff,51.26,61,100,7.43,-46.6,168.33
317,Ayan,41.36,90,100,14.43,56.45,138.17
318,Cape Town,57.56,87,0,17.22,-33.93,18.42
319,Merritt,48.2,57,40,6.4,50.11,-120.79
320,Pemangkat,77.7,89,100,6.58,1.17,108.97
321,Kapaa,83.16,74,90,4.7,22.08,-159.32
322,Punta Arenas,50.0,46,90,9.17,-53.15,-70.92
323,Mataura,57.2,47,97,2.93,-46.19,168.86
324,Rikitea,74.1,70,62,7.63,-23.12,-134.97
325,Bredasdorp,55.4,87,0,2.24,-34.53,20.04
326,Ushuaia,53.6,46,75,12.75,-54.8,-68.3
327,Lipany,42.51,86,100,1.01,49.15,20.96
328,Albany,67.21,82,22,5.01,42.6,-73.97
329,Kindu,71.02,86,98,0.27,-2.95,25.95
330,Tabuleiro do Norte,82.8,66,73,11.83,-5.25,-38.13
331,Aykhal,-0.4,91,90,5.93,66.0,111.5
332,Kirakira,84.11,69,18,7.38,-10.45,161.92
333,Puerto Ayora,71.91,69,20,13.87,-0.74,-90.35
334,Heinola,42.33,100,90,12.75,61.21,26.04
335,Ziro,48.69,100,1,2.35,27.63,93.83
336,Tiarei,84.09,66,75,11.41,-17.53,-149.33
337,Nikolskoye,36.77,93,90,6.71,59.7,30.79
338,Ribeira Grande,63.7,68,46,18.16,38.52,-28.7
339,Punta Arenas,50.0,46,90,9.17,-53.15,-70.92
340,Ushuaia,53.6,46,75,12.75,-54.8,-68.3
341,New Norfolk,53.64,75,97,1.01,-42.78,147.06
342,Bredasdorp,55.4,87,0,2.24,-34.53,20.04
343,Rikitea,74.1,70,62,7.63,-23.12,-134.97
344,Hobart,54.39,81,75,4.7,-42.88,147.33
345,Philadelphia,74.01,73,75,6.93,39.95,-75.16
346,Kapaa,83.16,74,90,4.7,22.08,-159.32
347,Mahébourg,75.2,73,40,11.41,-20.41,57.7
348,Atuona,77.83,70,0,16.2,-9.8,-139.03
349,Rikitea,74.1,70,62,7.63,-23.12,-134.97
350,Mataura,57.2,47,97,2.93,-46.19,168.86
351,Talnakh,12.2,85,40,15.66,69.49,88.4
352,Tuktoyaktuk,19.4,79,40,9.17,69.45,-133.04
353,New Norfolk,53.64,75,97,1.01,-42.78,147.06
354,Chimoré,80.51,74,96,3.44,-16.98,-65.13
355,Jones,74.62,90,100,3.78,16.56,121.7
356,Vaini,75.2,73,90,10.29,-21.2,-175.2
357,Touros,75.2,100,75,4.7,-5.2,-35.46
358,Ushuaia,53.6,46,75,12.75,-54.8,-68.3
359,Ushuaia,53.6,46,75,12.75,-54.8,-68.3
360,Homer,38.32,64,1,11.41,59.64,-151.55
361,Jamestown,56.86,93,90,4.7,42.1,-79.24
362,Hilo,79.14,51,75,8.39,19.73,-155.09
363,Tuktoyaktuk,19.4,79,40,9.17,69.45,-133.04
364,Sørland,38.84,72,86,14.88,67.67,12.69
365,Pangnirtung,26.6,86,90,4.7,66.15,-65.71
366,Khatanga,3.94,92,0,8.34,71.97,102.5
367,Vardø,30.2,92,75,4.7,70.37,31.11
368,Castro,66.42,80,10,9.44,-24.79,-50.01
369,Carnarvon,64.4,77,90,11.41,-24.87,113.63
370,Vanimo,77.49,82,100,6.15,-2.67,141.3
371,Aklavik,24.8,68,75,4.7,68.22,-135.01
372,Jilib,76.37,89,67,4.21,0.49,42.79
373,Grindavik,41.0,86,75,23.04,63.84,-22.43
374,Rikitea,74.1,70,62,7.63,-23.12,-134.97
375,Busselton,48.45,72,1,10.56,-33.65,115.33
376,Mount Isa,82.4,45,6,4.7,-20.73,139.5
377,Jamestown,56.86,93,90,4.7,42.1,-79.24
378,Thinadhoo,82.51,77,37,13.15,0.53,72.93
379,Upernavik,25.88,95,88,6.2,72.79,-56.15
380,Punta Arenas,50.0,46,90,9.17,-53.15,-70.92
381,Longyearbyen,17.6,78,20,5.82,78.22,15.64
382,Ushuaia,53.6,46,75,12.75,-54.8,-68.3
383,Rikitea,74.1,70,62,7.63,-23.12,-134.97
384,Nishihara,75.15,100,75,6.93,26.18,127.76
385,Avera,77.52,61,1,9.17,33.19,-82.53
386,São João da Barra,77.0,78,40,12.75,-21.64,-41.05
387,Busselton,48.45,72,1,10.56,-33.65,115.33
388,Busselton,48.45,72,1,10.56,-33.65,115.33
389,George Town,78.4,88,20,4.7,5.41,100.34
390,Faanui,78.62,77,13,12.82,-16.48,-151.75
391,Saint George,83.59,10,1,9.8,37.1,-113.58
392,Marsh Harbour,80.29,75,100,18.45,26.54,-77.06
393,Kapaa,83.16,74,90,4.7,22.08,-159.32
394,Ancud,55.69,58,0,9.17,-41.87,-73.82
395,Bluff,51.26,61,100,7.43,-46.6,168.33
396,Hermanus,55.0,90,0,7.92,-34.42,19.23
397,Thompson,30.2,54,90,6.93,55.74,-97.86
398,Punta Cardon,85.69,73,5,16.08,11.66,-70.22
399,Rikitea,74.1,70,62,7.63,-23.12,-134.97
400,Patea,64.99,56,49,5.01,-39.76,174.48
401,Busselton,48.45,72,1,10.56,-33.65,115.33
402,Vaini,75.2,73,90,10.29,-21.2,-175.2
403,Hermanus,55.0,90,0,7.92,-34.42,19.23
404,Parnamirim,77.0,94,75,4.7,-5.92,-35.26
405,Mehamn,26.6,86,10,11.41,71.04,27.85
406,Koslan,26.92,97,99,7.63,63.46,48.9
407,Mount Gambier,46.4,100,61,4.7,-37.83,140.77
408,Puerto Ayora,71.91,69,20,13.87,-0.74,-90.35
409,Praia,80.6,78,62,17.22,14.92,-23.51
410,Jamestown,56.86,93,90,4.7,42.1,-79.24
411,Busselton,48.45,72,1,10.56,-33.65,115.33
412,Koutiala,85.62,37,71,6.29,12.39,-5.46
413,Baturaja,73.8,95,100,2.19,-4.13,104.17
414,Faanui,78.62,77,13,12.82,-16.48,-151.75
415,Jamestown,56.86,93,90,4.7,42.1,-79.24
416,Dingle,76.48,91,76,6.71,11.0,122.67
417,Guerrero Negro,75.2,63,7,14.45,27.98,-114.06
418,Porto-Novo,80.6,88,40,8.05,6.5,2.6
419,Maniitsoq,30.9,95,90,7.25,65.42,-52.9
420,Goderich,53.31,80,64,8.79,43.75,-81.72
421,Vestmannaeyjar,41.49,81,98,26.33,63.44,-20.27
422,Kalach-na-Donu,41.0,65,75,4.47,48.69,43.53
423,Tasiilaq,30.2,86,100,3.36,65.61,-37.64
424,Narsaq,32.0,90,100,3.36,60.92,-46.05
425,Lorengau,82.02,76,96,8.55,-2.02,147.27
426,Sur,74.16,62,96,6.73,22.57,59.53
427,Otane,68.68,57,67,1.1,-39.88,176.63
428,Vaini,75.2,73,90,10.29,-21.2,-175.2
429,Prachuap Khiri Khan,71.06,97,70,2.89,12.22,99.75
430,Bambous Virieux,73.22,73,40,11.41,-20.34,57.76
431,Tuktoyaktuk,19.4,79,40,9.17,69.45,-133.04
432,Chengde,33.94,71,0,4.72,40.97,117.94
433,Rikitea,74.1,70,62,7.63,-23.12,-134.97
434,Khāsh,47.17,37,0,5.06,28.22,61.22
435,Lieto,49.66,100,90,5.82,60.51,22.46
436,Dikson,23.23,95,94,10.94,73.51,80.55
437,Port Alfred,63.54,85,0,12.35,-33.59,26.89
438,Port Alfred,63.54,85,0,12.35,-33.59,26.89
439,Mataura,57.2,47,97,2.93,-46.19,168.86
440,Sur,74.16,62,96,6.73,22.57,59.53
441,Vaini,75.2,73,90,10.29,-21.2,-175.2
442,Rota,67.32,88,40,10.29,36.62,-6.36
443,Butaritari,82.06,73,9,10.36,3.07,172.79
444,Tiksi,10.67,94,100,5.35,71.69,128.87
445,Lixouri,66.58,65,0,9.55,38.2,20.43
446,Dobre Miasto,48.2,93,100,5.82,53.99,20.4
447,Manavālakurichi,80.6,83,20,2.24,8.13,77.3
448,Punta Arenas,50.0,46,90,9.17,-53.15,-70.92
449,Tuktoyaktuk,19.4,79,40,9.17,69.45,-133.04
450,Mataura,57.2,47,97,2.93,-46.19,168.86
451,Natal,75.2,100,75,4.7,-5.79,-35.21
452,Gallup,74.26,6,1,14.99,35.53,-108.74
453,Busselton,48.45,72,1,10.56,-33.65,115.33
454,Mataura,57.2,47,97,2.93,-46.19,168.86
455,Sovetskiy,26.91,97,66,3.67,61.36,63.58
456,East London,65.37,80,2,13.89,-33.02,27.91
457,Jamestown,56.86,93,90,4.7,42.1,-79.24
458,Lae,80.62,71,45,5.79,-6.72,146.98
459,Hobart,54.39,81,75,4.7,-42.88,147.33
460,Rikitea,74.1,70,62,7.63,-23.12,-134.97
461,Codrington,51.3,81,63,6.69,-38.27,141.97
462,Hobart,54.39,81,75,4.7,-42.88,147.33
463,Flinders,64.0,88,86,1.01,-34.58,150.86
464,Kousséri,75.2,60,31,2.24,12.08,15.03
465,Jamestown,56.86,93,90,4.7,42.1,-79.24
466,Busselton,48.45,72,1,10.56,-33.65,115.33
467,Lakatoro,78.8,88,75,9.37,-16.1,167.42
468,Busselton,48.45,72,1,10.56,-33.65,115.33
469,Walvis Bay,60.89,77,94,12.75,-22.96,14.51
470,Rikitea,74.1,70,62,7.63,-23.12,-134.97
471,Sassandra,76.93,91,100,7.05,4.95,-6.08
472,Punta Alta,63.34,42,32,16.44,-38.88,-62.07
473,Mataura,57.2,47,97,2.93,-46.19,168.86
474,Puerto Ayora,71.91,69,20,13.87,-0.74,-90.35
